,beds,sqft
171588,4 bd,
171624,Baths,
171639,8 Beds,
171701,"6,756 sqft",
171720,4 Beds,
171785,4 Beds,
171891,1 bd,
171930,0.37 acres,
171956,2.87 acres,
171981,3,
172021,"7,361 sqft",
172063,3 Beds,
172139,2 Beds,
172151,0.62 acres,
172192,1.04 acres,
172240,-- bd,
172265,6 Beds,
172351,2.5 acres,
172376,Baths,
172428,"3,920 sqft",
172439,0.45 acres,
172451,Baths,
172458,"7,405 sqft",
172513,"8,712 sqft",
172661,3 bd,
172834,6 bd,
172884,3 bd,
172932,Baths,
172947,Baths,
172955,0.34 acres,
172989,1.33 acres,
173177,"6,250 sqft",
173223,2.24 acres,
173250,0.32 acres,
173295,"7,148 sqft",
173394,1.68 acres,
173526,6 Beds,
173534,"4,356 sqft",
173705,15.64 acres,
173734,3 bd,
173859,"3,009 sqft",
173866,0.27 acres,
173874,2 Beds,
173898,"7,143 sqft",
173927,2 Beds,
173932,Baths,
173974,0.28 acres,
173986,"4,443 sqft",
174043,3 bd,
174074,8 Beds,
174105,3 bd,
174171,Bath,
174199,"3,001 sqft",
174216,Baths,
174237,4 bd,
174245,2 Beds,
174277,40 acres,
174286,2 Beds,
174317,Baths,
174358,3,
174364,0.34 acres,
174423,4 bd,
174521,Baths,
174530,2 Beds,
174577,Baths,
174599,Baths,
174607,3 Beds,
174686,2 Beds,
174713,Bath,
174751,3 Beds,
174758,Baths,
174816,3 bd,
174844,"8,145 sqft",
174894, ,
174915,"6,908 sqft",
174930,4 Beds,
174996,6 Beds,
175017, ,
175077,Baths,
175103,0,
175107,2 Beds,
175180,"8,485 sqft",
175202,2 bd,
175230,1 acre,
175250,5 Beds,
175255,3 Beds,
175256,Baths,
175269,-- bd,
175279,-- bd,
175493,Baths,
175553,3 bd,
175554,0.26 acres,
175578,"7,470 sqft",
175618,2 Beds,
175769,0.41 acres,
175804,1.4 acres,
175877,3 Beds,
175891,9 Beds,
175955,0,
175966,4 bd,
175968,4 Beds,
175996,0.26 acres,
176010,5 bd,
176083,"9,600 sqft",
176085,3 Beds,
176231,"7,200 sqft",
176264,2 bd,
176266,1.09 acres,
176316,2 Beds,
176329,"4,094 sqft",
176372,0.39 acres,
176392,2 Beds,
176483,2 Beds,
176516,"10,001 sqft",
176534,0.3 acres,
176655,Baths,
176696,3 Beds,
176698,3 bd,
176749,4 Beds,
176851,"5,588 sqft",
176863,5 bd,
176910,2,
176926,Baths,
176978,"5,127 sqft",
177027,0.35 acres,
177064,"5,000 sqft",
177084, ,
177090,2,
177113,Baths,
177193,Baths,
177201,"10,650 sqft",
177238,0.5 acres,
177295,0,
177296,0,
177344,Baths,
177368,2 Beds,
177378,Baths,
177393,4 Beds,
177412,6 Beds,
177462,3 Beds,
177595,3 bd,
177604,4 Beds,
177673,"7,278 sqft",
177689,2,
177700,3 Beds,
177799,4 bd,
177906,1.03 acres,
177925,6 Beds,
177944,"5,000 sqft",
177953,2 Beds,
178146,0,
178250,Baths,
178273,1 bd,
178278,Baths,
178291,3 Beds,
178361,Baths,
178379,Baths,
178386,2.06 acres,
178397,0.3 acres,
178427,3 Beds,
178439,0.65 acres,
178516,3 bd,
178561,3 Beds,
178575,Baths,
178668,"6,250 sqft",
178677,-- bd,
178826,Baths,
178901,Baths,
178906,2 bd,
178916,3 bd,
178919,-- bd,
178921,Baths,
178942,5 Beds,
178951,64 Beds,
179000,3 bd,
179029,Bath,
179100,Baths,
179125,1.69 acres,
179269,3 bd,
179322,Bath,
179335,"1,568 sqft",
179408,Bath,
179454,2.25 acres,
179471,4 Beds,
179518,10 acres,
179544,"9,051 sqft",
179577,Bath,
179597,2,
179635,3 bd,
179642,Baths,
179788,0.55 acres,
179834,3 bd,
180037,Baths,
180041,1 acre,
180048,5 Beds,
180111, ,
180112,Bath,
180120,"6,651 sqft",
180162,3 Beds,
180246,-- bd,
180289,2 bd,
180298,3 bd,
180377,6 bd,
180420,-- sqft,
180455,Baths,
180494,0.55 acres,
180503,0,
180543,64 Beds,
180578,2 Beds,
180678,3 Beds,
180688,3 Beds,
180750,0.77 acres,
180765,Baths,
180797,Baths,
180840,102 acres,
180855,0.47 acres,
180892, ,
180968,"5,000 sqft",
180976,3 Beds,
180995,1.92 acres,
181006,6 Beds,
181032,Baths,
181051,-- sqft,
181063,3 Beds,
181134,7.66 acres,
181157,4 Beds,
181209,Baths,
181251,Baths,
181271,"5,501 sqft",
181351,Baths,
181371,Baths,
181397,Baths,
181654,15.64 acres,
181691,Baths,
181728,6 Beds,
181731,-- sqft,
181788,3 bd,
181852,2 Beds,
181856,3 Beds,
181875,5 bd,
181911,-- bd,
181933,3 Beds,
181940,0.25 acres,
181944,4,
181995,4 bd,
182045,0.59 acres,
182061,5 Beds,
182085,2 Beds,
182109,3 Beds,
182139,2 Beds,
182174,5 bd,
182226,Baths,
182269,Baths,
182297,"5,662 sqft",
182327,"7,579 sqft",
182336,12 Beds,
182382,3 bd,
182449,3 bd,
182461,2 Beds,
182616,Baths,
182621,6,
182645,0.37 acres,
182646,"8,999 sqft",
182858,11 Beds,
182915,"6,873 sqft",
182917,Bath,
182946,"6,751 sqft",
182950,Baths,
183010,Baths,
183012,Baths,
183027,Baths,
183061,"5,227 sqft",
183138,"7,187 sqft",
183140,-- sqft,
183146,"6,359 sqft",
183163,"3,005 sqft",
183223,64 Beds,
183281,1.29 acres,
183323,6 bd,
183325,0.28 acres,
183328,"7,204 sqft",
183381,Baths,
183403,"7,492 sqft",
183452,2,
183480,0,
183545,Baths,
183595,3 Beds,
183649,Baths,
183691,3 bd,
183768,5 bd,
183844,"5,035 sqft",
183866,2 Beds,
183877,2,
184167,1.03 acres,
184172,1.65 acres,
184186,1,
184201,4 bd,
184227,"3,800 sqft",
184284,2 Beds,
184348,7.58 acres,
184358,2 Beds,
184363,Baths,
184487,"7,723 sqft",
184534,2,
184538,1.04 acres,
184547,Baths,
184552,Bath,
184557,4 Beds,
184630,"6,751 sqft",
184655,"7,248 sqft",
184658,2 Beds,
184669,3 bd,
184761,0.66 acres,
184902,Bath,
184915,3 bd,
184924,-- bd,
184985,6 Beds,
185042,0,
185061,6 Beds,
185073,0.3 acres,
185117,4.74 acres,
185156,2 bd,
185313,2,
185335,0.52 acres,
185336,4 bd,
185356,2 Beds,
185380,3 bd,
185470,1.08 acres,
185480,3 bd,
185554,8 bd,
185586,3 bd,
185590,1 acre,
185646,Baths,
185653,Baths,
185655,7.17 acres,
185717,3 Beds,
185773,0.57 acres,
185776,6.66 acres,
185786,Baths,
185788,2 bd,
185798,"5,000 sqft",
185870,4 Beds,
185885,2 bd,
185929,2 bd,
185950,0.28 acres,
185986,1,
185998,4,
186069,3 Beds,
186076,3 Beds,
186079,"9,038 sqft",
186088,0.48 acres,
186117,2,
186186,2,
186190,0.64 acres,
186204,3,
186263, ,
186344,Baths,
186351,2 Beds,
186371,0.96 acres,
186379,4 Beds,
186410,2 Beds,
186414,9 Beds,
186445,0.52 acres,
186446,4 Beds,
186447,1.5 acres,
186500,64 Beds,
186505,5 bd,
186539,2 Beds,
186575,0,
186577,-- bd,
186687,0,
186691,2 bd,
186745,Baths,
186761,"6,599 sqft",
186786,4 bd,
186832,Baths,
186833,2 Beds,
186862,"7,975 sqft",
186900,2 bd,
186929,2 Beds,
187011,2 Beds,
187022,4 Beds,
187054,Baths,
187078,3 bd,
187099,-- bd,
187120,9.16 acres,
187158,3 bd,
187168,2 Beds,
187206,Baths,
187233,2 Beds,
187280,4 Beds,
187349,2 Beds,
187368,0.43 acres,
187379,"5,797 sqft",
187417,4 bd,
187463,"5,000 sqft",
187468,3 Beds,
187528,5 bd,
187537,"5,349 sqft",
187569,"5,941 sqft",
187584,1 acre,
187711,Bath,
187790,2 Beds,
187837,"3,698 sqft",
187849,6 Beds,
187890,2 bd,
187907,4 bd,
187927,2 Beds,
187988,Baths,
187999,3 Beds,
188039,0.5 acres,
188098,3 bd,
188105,2,
188115,6 Beds,
188170,4 Beds,
188185,-- sqft,
188234,Baths,
188245,Baths,
188285,"5,452 sqft",
188336,3 Beds,
188338,3 bd,
188340,3 Beds,
188413,0.46 acres,
188426,0.45 acres,
188502,"6,002 sqft",
188534,"7,501 sqft",
188562,"5,702 sqft",
188572,Bath,
188616,8.2 acres,
188625,0.51 acres,
188659,2 Beds,
188661,2.5 acres,
188697,0.51 acres,
188733,2 Beds,
188820,11 Beds,
188823,3 bd,
188854,3 Beds,
188859,"6,351 sqft",
188921,4,
188927,3 bd,
188934,3 bd,
188939,2 Beds,
188966,"4,003 sqft",
188983,0.63 acres,
188989,Baths,
189000,8 Beds,
189053,"3,615 sqft",
189060,Baths,
189153,3 bd,
189157,Baths,
189221,2 Beds,
189282,4 bd,
189318,0,
189388,6 Beds,
189400,1.88 acres,
189403,3 bd,
189411,2 Beds,
189437,5 bd,
189494,Baths,
189508,1.95 acres,
189549,Baths,
189584,0.72 acres,
189591,Bath,
189708,3 bd,
189735,3,
189738,1.55 acres,
189882,Baths,
189894,0.79 acres,
189925,Baths,
189932,3 Beds,
189977,3 bd,
190100,Baths,
190141,"10,001 sqft",
190221,3 bd,
190231,8 Beds,
190240,4 Beds,
190340,Bath,
190486,Baths,
190504,"8,384 sqft",
190563,Baths,
190584,4 bd,
190617,1.24 acres,
190637,Bath,
190655,0.96 acres,
190677,4 Beds,
190687,-- sqft,
190759,-- bd,
190762,"7,069 sqft",
190869,3 bd,
190872,"10,001 sqft",
190910,Baths,
190957,"5,440 sqft",
190995,3 Beds,
191024,"3,497 sqft",
191026,Baths,
191033,1 bd,
191039,4,
191042,3 bd,
191044,5 Beds,
191121,0.39 acres,
191156,4 Beds,
191189,Bath,
191446,"9,234 sqft",
191502,"5,000 sqft",
191594,Baths,
191627,1.26 acres,
191639,"2,874 sqft",
191670,0,
191772,"6,551 sqft",
191794,Baths,
191795,2 Beds,
191812,Baths,
191827,17.57 acres,
191887,Baths,
191925,3 bd,
192036,4 Beds,
192210,0.28 acres,
192228,5 Beds,
192254,0.49 acres,
192331,0.26 acres,
192332,2 Beds,
192477,"6,207 sqft",
192500,5 Beds,
192509,2 Beds,
192518,12 Beds,
192572,4 Beds,
192594,3 Beds,
192658,Baths,
192680,4 Beds,
192740, ,
192763,1.23 acres,
192764,1,
192770,1.22 acres,
192782,"8,807 sqft",
192830,Baths,
192835,2 Beds,
192846,5 Beds,
192887,1 acre,
192897,1 acre,
193134,"8,263 sqft",
193165,0.7 acres,
193175,4.65 acres,
193179,0.46 acres,
193188,3 Beds,
193212,1.33 acres,
193368,0,
193387,"5,148 sqft",
193398,2 Beds,
193442,1,
193553,1.53 acres,
193607,3,
193611,0.74 acres,
193650,Baths,
193704,2 Beds,
193734,7 bd,
193769,Baths,
193781,Baths,
193858,1.52 acres,
193922,Baths,
194020,3 bd,
194108,Baths,
194114,6 Beds,
194127,"5,641 sqft",
194145,2,
194169,5 Beds,
194170,Bath,
194219,1,
194239,0.27 acres,
194243,2 Beds,
194245,3,
194309,3 bd,
194318,Bath,
194324,4 bd,
194351,2 Beds,
194454,"7,126 sqft",
194493,1.07 acres,
194518,4 bd,
194555,0.83 acres,
194599,Baths,
194702,3 bd,
194709,0,
194718,-- bd,
194766,5.1 acres,
194837,"8,407 sqft",
194912,4 bd,
194998,4 Beds,
195030,0.27 acres,
195036,2 Beds,
195106,1.44 acres,
195140,3 Beds,
195177,3 bd,
195190,3 Beds,
195197,3 bd,
195209,Baths,
195224,Baths,
195230,0.53 acres,
195266,3 bd,
195280,4 bd,
195293,5 Beds,
195350,4 bd,
195359,"5,000 sqft",
195369,1.14 acres,
195397,0.47 acres,
195411,Baths,
195453,3 Beds,
195469,3 acres,
195530,"10,619 sqft",
195551,4 Beds,
195615,Baths,
195636,6,
195727,64 Beds,
195732,"9,147 sqft",
195763,0.44 acres,
195775,Baths,
195865,2.17 acres,
195960,Baths,
195987,2 Beds,
196007,Baths,
196061,0.43 acres,
196096,1.87 acres,
196115,6 acres,
196201,"5,240 sqft",
196207,3 bd,
196275,Baths,
196329,"6,795 sqft",
196502,0.47 acres,
196680,3 bd,
196831,-- bd,
196840,2 bd,
196912,10 acres,
196918,10.43 acres,
196933,4 Beds,
197006,3 Beds,
197059,2.83 acres,
197106,-- bd,
197110,"4,159 sqft",
197152,"7,501 sqft",
197237,Baths,
197416,6 Beds,
197417,0.62 acres,
197452,2 Beds,
197489,5 Beds,
197554,3 bd,
197560,Baths,
197642,3 Beds,
197643, ,
197659,1.05 acres,
197751,"6,795 sqft",
197797,Bath,
197808,5 bd,
197820,0.87 acres,
197849,2 bd,
197918,"3,528 sqft",
197955,5 Beds,
197964,8,
198018,3.77 acres,
198097,"5,227 sqft",
198111,0.8 acres,
198186,3 Beds,
198221,Bath,
198222,"6,751 sqft",
198268,Baths,
198294,4 bd,
198307,0.93 acres,
198334,5 Beds,
198338,2 Beds,
198339,"6,298 sqft",
198446,3 bd,
198468,5 Beds,
198591,Baths,
198641,"8,999 sqft",
198651,3 bd,
198654,2 Beds,
198752,Baths,
198798,-- bd,
198876,64 Beds,
198976, ,
199001,2 bd,
199022,4 Beds,
199060,4 bd,
199084,Bath,
199085,"6,499 sqft",
199096,1.04 acres,
199118,3 Beds,
199202,2 Beds,
199242,-- sqft,
199256,"6,599 sqft",
199277,11.2 acres,
199282,3 bd,
199288,3 bd,
199344,Baths,
199362,1.58 acres,
199370,-- bd,
199423,"4,665 sqft",
199469,Baths,
199470,-- bd,
199477,"6,599 sqft",
199537,0.37 acres,
199584,Baths,
199688,Baths,
199714,"4,399 sqft",
199718,3 Beds,
199865,3,
199868,"8,624 sqft",
200017,0,
200063,Baths,
200083,4 Beds,
200094,0.25 acres,
200142,0.89 acres,
200276,Baths,
200381,Bath,
200396,0.46 acres,
200540,3 bd,
200558,"10,018 sqft",
200580,5,
200616,2 Beds,
200636,3 bd,
200710,2,
200771,"4,965 sqft",
200799,2 bd,
200827,0.37 acres,
200857,0.3 acres,
200887,4 Beds,
200888,Baths,
200911,3 Beds,
200915,2 Beds,
200996,"2,178 sqft",
201044,2 Beds,
201074,14.42 acres,
201164,4,
201169,0.5 acres,
201179,0.38 acres,
201181,3 bd,
201260,"2,570 sqft",
201294,0,
201307,3 Beds,
201308,2 Beds,
201417,8 Beds,
201419,2 Beds,
201477,4 bd,
201546,0.71 acres,
201547,4 bd,
201574,Baths,
201605,6 Beds,
201639,3 bd,
201653,16 bd,
201675,Bath,
201747,1,
201764,4,
201774,"8,585 sqft",
201802,"4,660 sqft",
201805,2 Beds,
201981,2 Beds,
201995,-- bd,
202030,Baths,
202080,"6,298 sqft",
202102,Baths,
202146,Baths,
202154,3 Beds,
202213,3 bd,
202215,5,
202218,Baths,
202222,"7,723 sqft",
202236,2.5 acres,
202251,3,
202283,Baths,
202284,3 Beds,
202318,"7,862 sqft",
202366,Baths,
202377,Baths,
202387,0,
202393,Baths,
202403,"10,301 sqft",
202412,"5,000 sqft",
202564,8.06 acres,
202604,2 bd,
202663,1.2 acres,
202746,"9,408 sqft",
202780,Baths,
202806,3 Beds,
202811,4 bd,
202812,Baths,
202903,"5,000 sqft",
202906,106 acres,
202934,1 bd,
202940,Baths,
202943,Baths,
202971,"3,998 sqft",
203001,"10,018 sqft",
203039,Baths,
203099,Baths,
203129,1.02 acres,
203153,5,
203289,2 Beds,
203349,"6,621 sqft",
203360,Bath,
203371,5 bd,
203423,3 bd,
203443,-- bd,
203450,4 bd,
203503,Baths,
203509,"5,397 sqft",
203613,3 Beds,
203642,3 bd,
203716,3 Beds,
203747,3 Beds,
203758,Baths,
203764,2 Beds,
203766,-- bd,
203777,0,
203796,8 Beds,
203823,-- bd,
203847,Baths,
203848,"9,661 sqft",
203850,Bath,
203883,2 bd,
204023,"6,150 sqft",
204027,0.8 acres,
204076,4 Beds,
204104,2 Beds,
204142,"4,791 sqft",
204195,-- bd,
204205,1.27 acres,
204211,5 Beds,
204238,Baths,
204261,Baths,
204266,Baths,
204310,Bath,
204324,3,
204335,2 Beds,
204353,Baths,
204451,-- bd,
204455,2 Beds,
204472,3 Beds,
204545,6 Beds,
204610,Baths,
204640,1.11 acres,
204697,Baths,
204707,Bath,
204713,2 Beds,
204752,Baths,
204786,4 bd,
204797,"6,756 sqft",
204829,2 bd,
204858,0.36 acres,
204867,0.55 acres,
204876,2 Beds,
204928,0.3 acres,
204955,Baths,
205065,3 Beds,
205170,Baths,
205267,22.5 acres,
205284,0.35 acres,
205288,4 Beds,
205297,"5,000 sqft",
205308,3 bd,
205336,3 Beds,
205337,"5,005 sqft",
205356,4 bd,
205370,0,
205424,2 Beds,
205437,1 bd,
205468,3,
205588,4,
205625,"5,998 sqft",
205643,2 Beds,
205651,3 bd,
205663,0.69 acres,
205675,"9,648 sqft",
205781,"4,878 sqft",
205787,Bath,
205927,5 bd,
205938,4 Beds,
205956,Baths,
206006,2,
206064,2 bd,
206087,0.46 acres,
206094,Baths,
206109,4 bd,
206126,2 Beds,
206175,2.7 acres,
206182,0.39 acres,
206187,4 Beds,
206211,0.35 acres,
206228,2 Beds,
206233,6 Beds,
206237,0.46 acres,
206260,Baths,
206372,2 Beds,
206401,2 bd,
206420,Baths,
206429,4 bd,
206461,1.21 acres,
206476,0.82 acres,
206511,2,
206615,Baths,
206632,"5,876 sqft",
206648,"2,874 sqft",
206743,Baths,
206765,Baths,
206939,0.67 acres,
207018,3 bd,
207085,0.39 acres,
207132,2 Beds,
207150,4,
207269,Bath,
207282,1.13 acres,
207327,Baths,
207431,2 bd,
207468,Baths,
207507,3 bd,
207541,5 bd,
207574,"5,736 sqft",
207616,Baths,
207651,3 bd,
207667,"6,621 sqft",
207730,"5,000 sqft",
207739,"6,250 sqft",
207742,"7,405 sqft",
207786,7 bd,
207787,2 Beds,
207817,2 Beds,
208001,5 bd,
208064,"2,178 sqft",
208107,4 bd,
208138,1.12 acres,
208159,Baths,
208177,Bath,
208220,1 bd,
208427,3 bd,
208432,"5,000 sqft",
208475,"5,000 sqft",
208490,2.25 acres,
208494,0.31 acres,
208507,Baths,
208576,Baths,
208630,Baths,
208675,10 Beds,
208733,Baths,
208904,4 bd,
209037,Baths,
209153,-- bd,
209256,Baths,
209274,3 bd,
209276,-- bd,
209297,Baths,
209313,3 bd,
209360,4.89 acres,
209435,"7,004 sqft",
209457,4 Beds,
209470,2,
209514,Baths,
209599,2 Beds,
209646,1.75 acres,
209662,4 Beds,
209678,3 bd,
209732,3 bd,
209756,"2,757 sqft",
209764,"7,405 sqft",
209769,1 acre,
209786,12.87 acres,
209811,-- bd,
209851,3 Beds,
209996,Baths,
210012,0.3 acres,
210015,5 bd,
210032,2 Beds,
210102,"9,831 sqft",
210108,"10,436 sqft",
210126,19.75 acres,
210170,2,
210200,-- sqft,
210238,-- bd,
210261,7 Beds,
210270,3 bd,
210418,0.42 acres,
210468,2 Beds,
210495,2 bd,
210521,5 Beds,
210524,3 bd,
210535,Baths,
210542,3 Beds,
210579,Baths,
210582,"10,236 sqft",
210591,2 Beds,
210594,Baths,
210622,Bath,
210683,3 Beds,
210718,Baths,
210722,2 Beds,
210770,5 Beds,
210837,"7,379 sqft",
210853,1,
210864,"3,998 sqft",
210903,Baths,
210994,2 Beds,
211054,0.26 acres,
211136,4 bd,
211142,Baths,
211155,3 bd,
211166,2 Beds,
211190,"10,454 sqft",
211273,4 Beds,
211324,0.9 acres,
211332,64 Beds,
211375,Baths,
211405,3 Beds,
211414,3 bd,
211435,3 Beds,
211482,"4,499 sqft",
211503,2,
211522,-- sqft,
211531,Baths,
211600,Baths,
211633,1 acre,
211679,Baths,
211712,-- bd,
211859,0.94 acres,
211876,"7,200 sqft",
211907,0.97 acres,
211933,"9,962 sqft",
211972,0.58 acres,
211973,5 Beds,
211984,Baths,
212006,2 Beds,
212049,2,
212102,Baths,
212165,2 bd,
212169,"6,939 sqft",
212207,Baths,
212253,3 bd,
212266,Baths,
212363,2 Beds,
212370,4 Beds,
212418,0.5 acres,
212441,"8,712 sqft",
212500,"8,868 sqft",
212552,3 bd,
212554,Bath,
212588,2 bd,
212600,11 bd,
212605,8 Beds,
212615,Baths,
212630,Baths,
212746,9 Beds,
212759,2 bd,
212857,3 Beds,
212862,0.55 acres,
212863,0.61 acres,
212918,-- bd,
212937,3 bd,
212948,"9,239 sqft",
212949,"7,043 sqft",
212964,4,
212997,3 Beds,
213009,Baths,
213065,"8,276 sqft",
213069,Baths,
213170,"6,969 sqft",
213214,Bath,
213322,2 Beds,
213404,Baths,
213407,2 Beds,
213439,"10,798 sqft",
213454,"9,400 sqft",
213468,3 Beds,
213508,Baths,
213575,2,
213645,Bath,
213650,3 Beds,
213679,"8,337 sqft",
213839,Baths,
213865,"8,805 sqft",
213891,3 Beds,
213952,3 bd,
214061,4 Beds,
214105,3 bd,
214180,1.03 acres,
214192,2,
214203,-- bd,
214221,Baths,
214224,5,
214251,"3,750 sqft",
214257,Baths,
214277,"4,007 sqft",
214347,2 Beds,
214365,Baths,
214390,2 Beds,
214404,Baths,
214417,Baths,
214447,4.81 acres,
214452,Bath,
214466,3 Beds,
214504,"2,400 sqft",
214516,0.53 acres,
214534,6 Beds,
214551,Baths,
214610,-- bd,
214716,"3,001 sqft",
214736,0,
214741,3 bd,
214751,3 Beds,
214799,3.75 acres,
214828,0.29 acres,
214901,2.37 acres,
214987,3 Beds,
214998,1.03 acres,
215004,4 bd,
215011,4 Beds,
215044,Baths,
215077,-- sqft,
215133,Baths,
215139, ,
215198,Baths,
215256,4 bd,
215329,Baths,
215388,Baths,
215410,Baths,
215512,2 Beds,
215546,"5,048 sqft",
215633,"8,712 sqft",
215778,3 bd,
215785, ,
215807,Bath,
215847,Baths,
215892,1.13 acres,
215894,0,
215896,"7,048 sqft",
215941,3 bd,
215964,"2,652 sqft",
215984,4 bd,
216027,2 Beds,
216055,9 bd,
216062,6,
216064,5 bd,
216161,Baths,
216169,3 Beds,
216232,2 Beds,
216249,3,
216280,0,
216326,0.43 acres,
216409,Baths,
216426,6 Beds,
216494,4 bd,
216505,Baths,
216522,8.55 acres,
216547,3,
216550,3 bd,
216551,Bath,
216563,1,
216575,Baths,
216581,3 bd,
216591,3 bd,
216632,4 Beds,
216684,Baths,
216687,6 Beds,
216712,"9,134 sqft",
216720,"6,880 sqft",
216727,1.45 acres,
216754,11.67 acres,
216791,-- bd,
216827,0.39 acres,
216831,4 bd,
216887,2 Beds,
216888,"5,000 sqft",
216918,2 bd,
216947,"5,000 sqft",
216991,2 Beds,
217154,1 acre,
217258,"7,100 sqft",
217271,0.43 acres,
217280,2.1 acres,
217351,"9,147 sqft",
217372,"5,662 sqft",
217380,4 bd,
217446,Baths,
217519,"7,200 sqft",
217522,Baths,
217562,"5,227 sqft",
217596,3 Beds,
217608,"2,818 sqft",
217635,640 sqft,
217639,Baths,
217674,2,
217699,Baths,
217751,Baths,
217771,Baths,
217784,2 Beds,
217878,0.55 acres,
217892,3 Beds,
217909,4 Beds,
217917,1.32 acres,
218054,"3,484 sqft",
218119,Baths,
218136,"5,000 sqft",
218137,Baths,
218172,Baths,
218181,6 Beds,
218218,Bath,
218251,2 Beds,
218269,2 Beds,
218326,"2,874 sqft",
218407,4 Beds,
218452,0.63 acres,
218503,1.55 acres,
218513,5 bd,
218523,Baths,
218530,-- sqft,
218531,Baths,
218572,1.24 acres,
218601,Baths,
218609,Baths,
218621,3,
218631,4 Beds,
218821,Baths,
218848,2,
218968,0.67 acres,
219022,3 Beds,
219068,Baths,
219083,-- bd,
219129,"7,143 sqft",
219169,4 bd,
219230,5 bd,
219298,Baths,
219318,Baths,
219325,"6,185 sqft",
219330,3 Beds,
219347,640 sqft,
219354,Baths,
219367,0.32 acres,
219458,3 Beds,
219474,4 Beds,
219477,12 acres,
219517,24 Beds,
219678,3 Beds,
219680,4.84 acres,
219718,3 Beds,
219730,8 Beds,
219781,7 Beds,
219877,3 Beds,
219946,2.85 acres,
219980,0.41 acres,
220016,4 Beds,
220018,0.67 acres,
220022,Baths,
220072,Baths,
220117,-- sqft,
220153,Baths,
220189,-- bd,
220231,"9,000 sqft",
220254,3 Beds,
220268,"10,001 sqft",
220283,4 Beds,
220343,Baths,
220432,0.78 acres,
220474,1 acre,
220479,4 Beds,
220496,1 bd,
220515,2,
220602,0.39 acres,
220623,3,
220671,0.87 acres,
220691,Baths,
220732,Bath,
220754,"6,969 sqft",
220759,"6,743 sqft",
220808,-- bd,
220815,5 Beds,
221000,6,
221029,2 bd,
221073,Baths,
221123, ,
221144,0.46 acres,
221192,"10,018 sqft",
221206,3 Beds,
221221,-- bd,
221234,4 Beds,
221261,2 Beds,
221281,Baths,
221300,"10,297 sqft",
221301,4 bd,
221334,2 Beds,
221360,1,
221364,1.25 acres,
221383,5 bd,
221417,"5,100 sqft",
221428,1 bd,
221492,"10,280 sqft",
221664,2 Beds,
221775,Baths,
221789,Baths,
221816,4 Beds,
221827,"9,435 sqft",
221834,-- bd,
221837,"4,917 sqft",
221942,"7,013 sqft",
221962,4 Beds,
221966,0.59 acres,
222011,"7,753 sqft",
222054,1.1 acres,
222068,2 bd,
222092,"4,312 sqft",
222100,Baths,
222282,1,
222313,Baths,
222321,4 Beds,
222329,Baths,
222344,5,
222428,10 Beds,
222447,"4,920 sqft",
222553,Baths,
222594,1 bd,
222617,-- bd,
222658,3 bd,
222684,5.3 acres,
222699, ,
222741,Baths,
222833,Baths,
222868,3 bd,
222871,4 Beds,
222876,2 Beds,
222886,6 Beds,
222901,Baths,
222907,3 bd,
222909,3 Beds,
222917,"10,497 sqft",
222933,6 Beds,
222971,2 Beds,
222982,"5,000 sqft",
223035,0.72 acres,
223072,2,
223110,3 bd,
223114,Baths,
223154,0.86 acres,
223189,2 bd,
223218,3 Beds,
223257,0,
223323,Baths,
223326,3 Beds,
223387,"2,500 sqft",
223402,7.29 acres,
223432,4 Beds,
223443,0.7 acres,
223556,Baths,
223629,-- bd,
223672,3.15 acres,
223687,"6,098 sqft",
223727,2.07 acres,
223766,1.6 acres,
223834,"5,131 sqft",
223852,Baths,
223856,3 acres,
223870,Bath,
223874,0.37 acres,
223880,Baths,
223974,"10,393 sqft",
224050,4 Beds,
224057,4 Beds,
224104,Baths,
224116,8 Beds,
224134,3,
224159,4.71 acres,
224186,Bath,
224188,7.82 acres,
224220,0.25 acres,
224282,-- bd,
224365,Baths,
224458,4 bd,
224521,0,
224524,3 bd,
224630,4 bd,
224858,2 Beds,
224884,0.43 acres,
224899,Baths,
224939,0.61 acres,
224990,Baths,
225030,"5,000 sqft",
225032,1 acre,
225081,2,
225158,1.36 acres,
225159,4 Beds,
225168,7.34 acres,
225196,3 Beds,
225272,4.73 acres,
225279,Baths,
225314,1,
225320,4 Beds,
225350,3 Beds,
225427,2 Beds,
225507,3 bd,
225581,5 Beds,
225738,2 bd,
225758,"6,298 sqft",
225766,-- bd,
225798,Bath,
225806,0.36 acres,
225885,1.2 acres,
225961,3 bd,
225965,5 bd,
226022,4,
226023,3,
226048,"2,613 sqft",
226095,Baths,
226111,Baths,
226130,3,
226154,"8,999 sqft",
226179,"9,452 sqft",
226249,5 bd,
226401,4 bd,
226423,3 bd,
226431,4 bd,
226444,2 bd,
226451,Baths,
226574,Baths,
226614,Baths,
226692,2 bd,
226693,Baths,
226719,2 Beds,
226733,"3,920 sqft",
226754,3 Beds,
226768,Bath,
226846,3 Beds,
226870,3 Beds,
226896,"10,201 sqft",
226958,1.84 acres,
226994,3 bd,
227032,3 Beds,
227043,Baths,
227131,0.9 acres,
227176,3 Beds,
227215,Baths,
227223,Bath,
227272,1 bd,
227440,1.17 acres,
227451,0.5 acres,
227454,3 Beds,
227456,0.33 acres,
227555,4 bd,
227595,1.6 acres,
227619,4 bd,
227652,2 bd,
227690,4 Beds,
227707,5 Beds,
227791,0,
