,beds,sqft
38216,3 Beds,
38230,1.81 acres,
38232,Baths,
38247,1.14 acres,
38271,4 Beds,
38276,1.03 acres,
38326,3 bd,
38444,Baths,
38504,3 Beds,
38538,Baths,
38553,0.36 acres,
38569,1.43 acres,
38602,Baths,
38622,0,
38680,6.18 acres,
38736,Baths,
38752,"7,300 sqft",
38774,-- bd,
38814,3 bd,
38945,Bath,
38982,Baths,
38998,"7,100 sqft",
39052,1 bd,
39136,3 Beds,
39146,3 Beds,
39173,5 bd,
39178,3 bd,
39215,0.28 acres,
39222,3 Beds,
39250,3 bd,
39273,Baths,
39299,"7,000 sqft",
39396,37 acres,
39398,3 Beds,
39402,4 bd,
39403,2 Beds,
39454,Baths,
39466,"6,210 sqft",
39526,Baths,
39563,4 Beds,
39626,3 bd,
39634,4 acres,
39743,1.03 acres,
39770,1.51 acres,
39825,1.03 acres,
39988,-- bd,
40041,3 bd,
40056,-- bd,
40093,Baths,
40146,Bath,
40163,5 Beds,
40171,5 bd,
40194,Bath,
40203,4 bd,
40205,"7,501 sqft",
40228,0,
40321,4 bd,
40327,2 bd,
40340,1,
40385,Baths,
40498,2 Beds,
40531,Baths,
40576,2 Beds,
40633,3 Beds,
40711,4 bd,
40713,0,
40760,2 Beds,
40779,1.6 acres,
40828,"9,748 sqft",
40834,6 Beds,
40860,2.61 acres,
40863,3 Beds,
40899,"2,395 sqft",
41008,4 Beds,
41086,7 bd,
41121,0,
41139,Baths,
41167,"5,000 sqft",
41231,8 Beds,
41237,0.28 acres,
41242,3.58 acres,
41316,3 Beds,
41375,Baths,
41417,-- bd,
41422,3 bd,
41524,5 bd,
41548,2 Beds,
41565,0.63 acres,
41602,1.29 acres,
41612, ,
41618,"3,497 sqft",
41652,3 Beds,
41683,Baths,
41689,Baths,
41739,Baths,
41813,"5,532 sqft",
41814,5,
41815,0.72 acres,
41822,3 Beds,
41900,4.57 acres,
41924,2 Beds,
42031,0.3 acres,
42039,"6,969 sqft",
42082,Baths,
42143,1.43 acres,
42212,6 bd,
42227,2 Beds,
42234,"8,698 sqft",
42258,Baths,
42297,Baths,
42300,"3,049 sqft",
42310,"6,098 sqft",
42320,Baths,
42387,"6,534 sqft",
42396,0.87 acres,
42412,3 Beds,
42430,"6,250 sqft",
42520,3 Beds,
42530,3 Beds,
42544,5 Beds,
42554,5.96 acres,
42685,1.04 acres,
42737,0.34 acres,
42772,2.33 acres,
42876,2 Beds,
42917,0.47 acres,
42965,Bath,
42968,Baths,
42992,4 bd,
43011,1 bd,
43080,"9,517 sqft",
43103,3 bd,
43141,5 bd,
43158,Baths,
43183,3 bd,
43222,3 Beds,
43237,Baths,
43262,4 Beds,
43298,1,
43340,Baths,
43478,3 bd,
43500,Bath,
43514,4.25 acres,
43520,Baths,
43564,"1,690 sqft",
43571,Baths,
43619,2 Beds,
43865,Baths,
43953,"4,351 sqft",
43965,2 bd,
44074,5 Beds,
44153,4 bd,
44294,5 bd,
44307,"5,000 sqft",
44380,0.56 acres,
44440,5 Beds,
44449,1.01 acres,
44493,3 bd,
44514,2 Beds,
44609,Bath,
44610,0,
44668,-- bd,
44676,Baths,
44759,7.79 acres,
44807,2 bd,
44818,Baths,
44861,3 Beds,
44892,4 Beds,
44910,5 Beds,
45058,2 Beds,
45216,2 Beds,
45237,3 bd,
45251,"5,248 sqft",
45257,2 bd,
45260,3 Beds,
45267,Baths,
45415,0,
45430,4 Beds,
45441,4,
45458,Baths,
45475,Baths,
45505,2,
45556,3,
45583,"3,876 sqft",
45674,Baths,
45688,1,
45855,3 bd,
45876,"7,200 sqft",
45888,Baths,
45929,1.28 acres,
45963,4 Beds,
46009,Baths,
46041,2 acres,
46070,2,
46108,4 bd,
46177,0.32 acres,
46187,"6,316 sqft",
46202,0.8 acres,
46359,Baths,
46394,Bath,
46400,3 Beds,
46462,"9,801 sqft",
46517,"8,058 sqft",
46555,4 sqft,
46583,6 Beds,
46589,0.28 acres,
46643,0.47 acres,
46644,3 bd,
46716,4 bd,
46738,4 bd,
46748,1.65 acres,
46756,4 bd,
46789,Baths,
46796,-- bd,
46865,7 bd,
46875,0.31 acres,
46907,-- bd,
46975,6 Beds,
46983,2 bd,
46984,6 Beds,
46990,0.89 acres,
47032,1.08 acres,
47064,Baths,
47079,3 bd,
47104,Bath,
47123,Baths,
47130,0,
47174,2,
47210,3,
47217,0.41 acres,
47308,Baths,
47325,Baths,
47328,Baths,
47348,0.85 acres,
47375,5 bd,
47398,"5,458 sqft",
47406,3 Beds,
47459,Baths,
47513,4 Beds,
47550,3 Beds,
47632,9.15 acres,
47675,3 bd,
47705,"9,077 sqft",
47796,Baths,
47812,0.82 acres,
47820,3 Beds,
47822,5 Beds,
47940,5 Beds,
47943,0.29 acres,
47945,3 bd,
47949,2.79 acres,
47979,-- sqft,
47990,Bath,
47993,2 Beds,
48015,0.33 acres,
48019,5 Beds,
48041,3 Beds,
48054,-- bd,
48114,Baths,
48124,2 Beds,
48134,0.26 acres,
48145,0.79 acres,
48171,4 bd,
48211,Baths,
48213,0.29 acres,
48230,0,
48265,8 Beds,
48307,-- bd,
48382,-- bd,
48436,2 bd,
48452,"4,647 sqft",
48478,Baths,
48515,4 Beds,
48518,3 Beds,
48523,"5,000 sqft",
48573,5 Beds,
48594,0,
48595,4 Beds,
48673,2 bd,
48698,Baths,
48712,2 Beds,
48776,2,
48816,3,
48824,Baths,
48874,2 Beds,
48875,2 Beds,
48891,2 Beds,
49001,6,
49013,2 Beds,
49070,6 Beds,
49076,0,
49081,4,
49113,2 Beds,
49176,Baths,
49177,Baths,
49198,2.43 acres,
49255,"7,143 sqft",
49261,Baths,
49288,2 Beds,
49320,0.98 acres,
49425,4 Beds,
49653,3 bd,
49678,7 Beds,
49679,Baths,
49731,0.75 acres,
49767,0.41 acres,
49773,Baths,
49819,"6,969 sqft",
49832,"7,030 sqft",
49856,2,
49879,2 Beds,
49938,Bath,
49986,Baths,
49998,4 Beds,
50063,4 bd,
50094,4 Beds,
50131,8.48 acres,
50194,"5,227 sqft",
50199,2 Beds,
50250,0.4 acres,
50255,Baths,
50278,4,
50316,8 Beds,
50333,"6,002 sqft",
50348,Bath,
50351,3 bd,
50355,6,
50439,"10,079 sqft",
50469,3 bd,
50546,0.35 acres,
50564,0.29 acres,
50594,Baths,
50622,3 bd,
50659,"10,018 sqft",
50660,0,
50665,3 Beds,
50697,4 bd,
50703,2 Beds,
50722,2 Beds,
50754,-- sqft,
50772,Baths,
50777,4 Beds,
50783,0.28 acres,
50856,"10,149 sqft",
50861,Bath,
50896,0.56 acres,
50942,Baths,
50957,Baths,
50962,0.94 acres,
50973,7 Beds,
50997,1.76 acres,
51077,3 bd,
51094,"4,499 sqft",
51095,0.27 acres,
51135,Baths,
51145,5 bd,
51157,4 Beds,
51175,5 Beds,
51187,"3,920 sqft",
51240,1 acre,
51328,0,
51343,0.26 acres,
51365,-- bd,
51404,Bath,
51410,"5,501 sqft",
51413,Baths,
51471,"10,846 sqft",
51482,0.32 acres,
51521,"10,031 sqft",
51560,4 Beds,
51719,-- sqft,
51735,-- bd,
51757,Baths,
51862,Bath,
51873,Baths,
51887,2.94 acres,
51931,Baths,
51936,Baths,
51966,-- bd,
52124,0.43 acres,
52128,3 bd,
52143,Bath,
52148,Baths,
52167,1 acre,
52203,"8,276 sqft",
52315,Baths,
52342,1.14 acres,
52365,3,
52400,Baths,
52411,"10,606 sqft",
52428,0.29 acres,
52473,Baths,
52491,2 Beds,
52535,0.73 acres,
52540,4 bd,
52566,"8,712 sqft",
52612,Baths,
52633,5 Beds,
52653,6,
52654,6 Beds,
52659,2,
52679,3 Beds,
52771,-- sqft,
52773,"5,248 sqft",
52931,2,
52936,-- bd,
52954,"2,962 sqft",
53039,Baths,
53107,3,
53200,"4,273 sqft",
53273,0.5 acres,
53319,1.12 acres,
53334,3 Beds,
